Site,pmine,Type,Current.elev,Historic.elev,elev.change,Current.area,Historic.area,area.change,Current.slope,Historic.slope,slope.change,Current.DD,Historic.DD,DD.change
Ben,79,Mined,478,473,1.0105708245243128,10.49,10.89,0.963269054178145,0.35,0.55,0.6363636363636362,0.062,0.049,1.2653061224489794
BenRef,8,Unmined,454,450,1.008888888888889,5.56,5.55,1.0018018018018018,0.57,0.53,1.0754716981132073,0.043,0.048,0.8958333333333333
Laurel,75,Mined,476,465,1.0236559139784946,8.71,8.7,1.0011494252873565,0.33,0.51,0.6470588235294118,0.06,0.039,1.5384615384615383
LaurelRef,0,Unmined,383,383,1,3.26,3.25,1.003076923076923,0.54,0.53,1.0188679245283019,0.033,0.037,0.891891891891892
Mud,82,Mined,351,343,1.0233236151603498,4.14,3.58,1.1564245810055864,0.22,0.4,0.5499999999999999,0.059,0.037,1.5945945945945945
MudRef,1,Unmined,381,381,1,8.43,8.41,1.0023781212841854,0.49,0.47,1.0425531914893618,0.04,0.039,1.0256410256410258
Spruce,69,Mined,454,441,1.0294784580498866,6.46,6.75,0.957037037037037,0.32,0.5,0.64,0.056,0.038,1.473684210526316
SpruceRef,2,Unmined,496,495,1.002020202020202,5.26,5.24,1.0038167938931297,0.53,0.54,0.9814814814814815,0.037,0.039,0.9487179487179487
WhiteOak,72,Mined,549,546,1.0054945054945055,9.74,9.11,1.0691547749725576,0.33,0.52,0.6346153846153846,0.068,0.037,1.8378378378378382
WhiteOakRef,4,Unmined,491,494,0.9939271255060729,1.9,1.95,0.9743589743589743,0.58,0.54,1.074074074074074,0.036,0.04,0.8999999999999999
