Site,Type,Data.Source,breaks,value,brk.derv
Ben,Mined,Current,b1,407.3802778041126,-0.004010405955140369
Ben,Mined,Current,b2,2089.2961308540407,-0.3130163266380115
Ben,Mined,Current,b3,23988.329190194898,-0.18621996993367493
Ben,Mined,Historic,b1,389.04514499428046,-0.011738659375173661
Ben,Mined,Historic,b2,1905.4607179632483,-0.13344907524163457
Ben,Mined,Historic,b3,26302.679918953814,-0.3399625847803362
BenRef,Unmined,Current,b1,288.40315031266056,-0.004392476714529146
BenRef,Unmined,Current,b2,1621.8100973589299,-0.1752154606887639
BenRef,Unmined,Current,b3,21379.620895022323,-0.2709414570700399
BenRef,Unmined,Historic,b1,407.3802778041126,-0.009479963910713266
BenRef,Unmined,Historic,b2,1949.8445997580454,-0.165835429433401
BenRef,Unmined,Historic,b3,26302.679918953814,-0.31598205841563815
Laurel,Mined,Current,b1,794.3282347242813,-0.0034728075462230642
Laurel,Mined,Current,b2,2951.209226666384,-0.32298351055350205
Laurel,Mined,Current,b3,28840.31503126606,-0.12878712446600346
Laurel,Mined,Historic,b1,489.77881936844614,-0.0026375549314061
Laurel,Mined,Historic,b2,2290.867652767775,-0.28256698415809517
Laurel,Mined,Historic,b3,25118.864315095823,-0.27590355495357743
LaurelRef,Unmined,Current,b1,524.8074602497722,-0.013147032044599468
LaurelRef,Unmined,Current,b2,2398.83291901949,-0.12777849606164499
LaurelRef,Unmined,Current,b3,27542.28703338163,-0.3057694563686779
LaurelRef,Unmined,Historic,b1,524.8074602497722,-0.010858138401503596
LaurelRef,Unmined,Historic,b2,2398.83291901949,-0.22848451422616295
LaurelRef,Unmined,Historic,b3,25703.957827688646,-0.27525941503960294
Mud,Mined,Current,b1,380.1893963205613,-3.091028283885921e-4
Mud,Mined,Current,b2,2041.7379446695295,-0.48638965700853454
Mud,Mined,Current,b3,26915.348039269138,-0.25754796196897906
Mud,Mined,Historic,b1,741.3102413009177,-0.012908575352693906
Mud,Mined,Historic,b2,2818.382931264455,-0.21086196137249275
Mud,Mined,Historic,b3,31622.776601683792,-0.4757745368454959
MudRef,Unmined,Current,b1,371.53522909717276,-0.002778827184618586
MudRef,Unmined,Current,b2,1995.2623149688789,-0.1657320208251229
MudRef,Unmined,Current,b3,26915.348039269138,-0.4158031400231832
MudRef,Unmined,Historic,b1,380.1893963205613,-0.024044767398101977
MudRef,Unmined,Historic,b2,2041.7379446695295,-0.24343983330067923
MudRef,Unmined,Historic,b3,25118.864315095823,-0.3776498333257297
Spruce,Mined,Current,b1,660.6934480075964,-0.005370602535964667
Spruce,Mined,Current,b2,2691.534803926914,-0.40040049077280276
Spruce,Mined,Current,b3,30902.95432513592,-0.29146806020823934
Spruce,Mined,Historic,b1,524.8074602497722,-0.008594971483333127
Spruce,Mined,Historic,b2,2398.83291901949,-0.30927223705549517
Spruce,Mined,Historic,b3,25703.957827688646,-0.25330010414202336
SpruceRef,Unmined,Current,b1,616.5950018614822,-0.002349391490374991
SpruceRef,Unmined,Current,b2,2570.3957827688646,-0.1880627140277853
SpruceRef,Unmined,Current,b3,26915.348039269138,-0.23012309429448144
SpruceRef,Unmined,Historic,b1,524.8074602497722,-0.005902364646267896
SpruceRef,Unmined,Historic,b2,2398.83291901949,-0.3101374221082515
SpruceRef,Unmined,Historic,b3,25703.957827688646,-0.2018922325072213
WhiteOak,Mined,Current,b1,1202.2644346174131,-0.01457747302772181
WhiteOak,Mined,Current,b2,3548.133892335753,-0.344314645914726
WhiteOak,Mined,Current,b3,31622.776601683792,-0.12053350162739819
WhiteOak,Mined,Historic,b1,1202.2644346174131,-0.006234714963149334
WhiteOak,Mined,Historic,b2,3548.133892335753,-0.22936229374033748
WhiteOak,Mined,Historic,b3,31622.776601683792,-0.20002823576742862
WhiteOakRef,Unmined,Current,b1,512.8613839913648,-0.005819985960678466
WhiteOakRef,Unmined,Current,b2,2344.228815319923,-0.26013000191628666
WhiteOakRef,Unmined,Current,b3,25703.957827688646,-0.17878440413091992
WhiteOakRef,Unmined,Historic,b1,891.2509381337459,-0.017352533968209943
WhiteOakRef,Unmined,Historic,b2,2884.031503126606,-0.26299497384662535
WhiteOakRef,Unmined,Historic,b3,28183.82931264455,-0.1862879689480663
